,G1,E1,E2,E3,F_BUS,T_BUS,TYPE,DONE,TAP,Total,Error
E1_QF,26.14814619009093,0.0,0.0,0.0,1,2,E,True,1.0,26.14814619009093,3.552713678800501e-15
E1_QT,19.577439612565907,2.800981959430893,0.0,0.0,1,2,E,True,1.0,22.3784215719968,0.0
E2_QF,25.5949846315166,0.0,0.0,0.0,1,3,E,True,1.0,25.5949846315166,0.0
E2_QT,17.285520974082125,0.0,2.659429842189967,0.0,1,3,E,True,1.0,19.94495081627209,0.0
E3_QF,0.0,0.0,0.0,-2.6215784279969325,2,3,E,True,1.0,-2.6215784279969325,0.0
E3_QT,0.0,0.0,0.0,0.055049183719970904,2,3,E,True,1.0,0.055049183719970904,0.0
L2,15.661951690056652,2.2407855675452764,0.0,2.0972627423980716,2,0,L,True,1.0,20.0,0.0
L3,17.28552097408899,0.0,2.659429842191023,0.05504918371999276,3,0,L,True,1.0,20.000000000000007,7.105427357601002e-15
G1,51.74313082160752,0.0,0.0,0.0,0,1,G,True,1.0,51.74313082160752,0.0
G2,3.915487922514163,0.5601963918863191,0.0,0.5243156855995179,2,0,L,True,1.0,5.0,0.0
