,G10,G12,G25,G26,G31,G46,G49,G54,G59,G61,G65,G66,G69,G80,G87,G89,G100,G103,G111,F_BUS,T_BUS,TYPE,DONE,TAP,Total,Error
E1_PF,4.645984116513212,7.804435553204812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,E,True,1.0,12.450419669718023,0.0
E1_PT,4.609561140795437,7.743251364986224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,E,True,1.0,12.35281250578166,0.0
E2_PF,35.833949809580865,3.063331440822094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,E,True,1.0,38.89728125040296,0.0
E2_PT,35.60355203321373,3.0436354610043117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,E,True,1.0,38.647187494218045,0.0
E3_PF,103.4306351288378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,E,True,1.0,103.4306351288378,0.0
E3_PT,103.2297450856633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,E,True,1.0,103.2297450856633,0.0
E4_PF,69.3489817735336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,E,True,1.0,69.3489817735336,0.0
E4_PT,68.1105078384542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,E,True,1.0,68.1105078384542,0.0
E5_PF,88.47041647462535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,E,True,1.0,88.47041647462535,0.0
E5_PT,87.53993148336744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6,E,True,1.0,87.53993148336744,0.0
E6_PF,35.539931483367525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,7,E,True,1.0,35.539931483367525,0.0
E6_PT,35.47982947703188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,7,E,True,1.0,35.47982947703188,0.0
E7_PF,445.25464984990884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,8,E,True,1.0,445.25464984990884,-5.684341886080802e-14
E7_PT,440.63501246016205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,8,E,True,1.0,440.63501246016205,-5.684341886080802e-14
E8_PF,338.47469807164833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,E,True,0.985,338.47469807164833,0.0
E8_PT,338.47469807164833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,E,True,0.985,338.47469807164833,0.0
E9_PF,450.0000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,9,E,True,1.0,450.0000000000003,-5.684341886080802e-14
E9_PT,445.25464984990884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,9,E,True,1.0,445.25464984990884,-5.684341886080802e-14
E10_PF,64.22974508566422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,11,E,True,1.0,64.22974508566422,0.0
E10_PT,63.36397523001328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,11,E,True,1.0,63.36397523001328,0.0
E11_PF,77.22466469465087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,11,E,True,1.0,77.22466469465087,0.0
E11_PT,76.01585591859899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,11,E,True,1.0,76.01585591859899,0.0
E12_PF,34.29464832125798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,12,E,True,1.0,34.29464832125798,0.0
E12_PT,34.14788138163708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,12,E,True,1.0,34.14788138163708,7.105427357601002e-15
E13_PF,12.214479130339349,20.518175008364242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,E,True,1.0,32.732654138703595,7.105427357601002e-15
E13_PT,12.109160844303778,20.34125882541451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,E,True,1.0,32.450419669718286,0.0
E14_PF,3.6917382189036956,6.201470406739191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3,E,True,1.0,9.893208625642886,0.0
E14_PT,3.652020978410687,6.1347524335379715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3,E,True,1.0,9.786773411948658,0.0
E15_PF,16.47982947703232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,12,E,True,1.0,16.47982947703232,0.0
E15_PT,16.45265817198353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,12,E,True,1.0,16.45265817198353,0.0
E16_PF,35.0851828273543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,13,E,True,1.0,35.0851828273543,0.0
E16_PT,34.7681440669203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,13,E,True,1.0,34.7681440669203,0.0
E17_PF,6.834163437374663,11.480191660036976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,14,E,True,1.0,18.31435509741164,0.0
E17_PT,6.805696760354927,11.432372653203787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,14,E,True,1.0,18.238069413558712,0.0
E18_PF,0.7681440669202021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,15,E,True,1.0,0.7681440669202021,0.0
E18_PT,0.7670257480027939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,15,E,True,1.0,0.7670257480027939,0.0
E19_PF,1.5814730509015664,2.656596362657059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,15,E,True,1.0,4.238069413558625,0.0
E19_PT,1.570233773837119,2.6377163554692764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,15,E,True,1.0,4.207950129306395,0.0
