,G1,G2,F_BUS,T_BUS,TYPE,DONE,TAP,Total,Error
E1_PF,156.88289052897025,0.0,1,2,E,True,1.0,156.88289052897025,0.0
E1_PT,152.58529019294986,0.0,1,2,E,True,1.0,152.58529019294986,0.0
E2_PF,75.51038182428782,0.0,1,5,E,True,1.0,75.51038182428782,0.0
E2_PT,72.74750923177135,0.0,1,5,E,True,1.0,72.74750923177135,0.0
E3_PF,58.026120633370965,15.211458603904674,2,3,E,True,1.0,73.23757923727564,0.0
E3_PT,56.185394764867,14.72891513823343,2,3,E,True,1.0,70.91430990310043,0.0
E4_PF,44.47297396491367,11.658521973822225,2,4,E,True,1.0,56.131495938735895,0.0
E4_PT,43.14455827128304,11.31027983542191,2,4,E,True,1.0,54.45483810670495,0.0
E5_PF,32.89328956415257,8.622925453051932,2,5,E,True,1.0,41.5162150172045,0.0
E5_PT,32.1772459477964,8.435215716300583,2,5,E,True,1.0,40.61246166409698,0.0
E6_PF,20.413305369298637,3.245829683100557,4,3,E,True,1.0,23.659135052399193,0.0
E6_PT,20.091093846321307,3.1945962494847646,4,3,E,True,1.0,23.28569009580607,3.552713678800501e-15
E7_PF,57.08353359139238,4.5891164470007855,5,4,E,True,1.0,61.672650038393165,0.0
E7_PT,56.60739241513848,4.550838029993844,5,4,E,True,1.0,61.15823044513232,-7.105427357601002e-15
E8_PF,24.222640628708152,3.8515352870773123,4,7,E,True,0.978,28.074175915785464,0.0
E8_PT,24.22264062870814,3.85153528707731,4,7,E,True,0.978,28.074175915785453,3.552713678800501e-15
E9_PF,13.873753249100119,2.2060043338042306,4,9,E,True,0.969,16.07975758290435,0.0
E9_PT,13.873753249100119,2.2060043338042306,4,9,E,True,0.969,16.07975758290435,0.0
E10_PF,40.806744313245474,3.280576546240798,5,6,E,True,0.932,44.08732085948627,0.0
E10_PT,40.806744313245474,3.280576546240798,5,6,E,True,0.932,44.08732085948627,0.0
E11_PF,6.806113137343486,0.5471638452220989,6,11,E,True,1.0,7.353276982565585,0.0
E11_PT,6.754860191795217,0.5430434672326,6,11,E,True,1.0,7.297903659027817,0.0
E12_PF,7.206698880850019,0.5793681344155254,6,12,E,True,1.0,7.7860670152655445,8.881784197001252e-16
E12_PT,7.1402330260786435,0.5740247450332451,6,12,E,True,1.0,7.714257771111889,1.7763568394002505e-15
E13_PF,16.427334203301637,1.3206426587459483,6,13,E,True,1.0,17.747976862047587,3.552713678800501e-15
E13_PT,16.231030270057055,1.3048611968779413,6,13,E,True,1.0,17.535891466934995,0.0
E14_PF,0.0,0.0,7,8,E,True,1.0,0.0,0.0
E14_PT,0.0,0.0,7,8,E,True,1.0,0.0,0.0
E15_PF,24.222640628961475,3.8515352871175916,7,9,E,True,1.0,28.074175916079067,3.552713678800501e-15
E15_PT,24.222640628961475,3.8515352871175916,7,9,E,True,1.0,28.074175916079067,3.552713678800501e-15
E16_PF,4.510377266905487,0.7171752026461158,9,10,E,True,1.0,5.227552469551603,0.0
E16_PT,4.499268734751553,0.7154088839266033,9,10,E,True,1.0,5.214677618678156,0.0
E17_PF,8.133162690277356,1.293218339705621,9,14,E,True,1.0,9.426381029982977,1.7763568394002505e-15
E17_PT,8.032943940469668,1.2772829981700824,9,14,E,True,1.0,9.310226938639751,0.0
E18_PF,3.515298288063983,0.2826053710224535,11,10,E,True,1.0,3.7979036590864363,0.0
E18_PT,3.5036531942739195,0.2816691870114674,11,10,E,True,1.0,3.785322381285387,4.440892098500626e-16
E19_PF,1.4941394223325823,0.1201183487732203,12,13,E,True,1.0,1.6142577711058026,2.220446049250313e-16
E19_PT,1.488309822987173,0.11964968980009258,12,13,E,True,1.0,1.6079595127872655,2.220446049250313e-16
E20_PF,5.223887035688252,0.41996394414458643,13,14,E,True,1.0,5.6438509798328385,8.881784197001252e-16
E20_PT,5.173833102862395,0.41593995838343084,13,14,E,True,1.0,5.589773061245826,8.881784197001252e-16
L2,17.192906030723545,4.507093969276453,2,0,L,True,1.0,21.7,0.0
L3,76.27648861207376,17.92351138792626,3,0,L,True,1.0,94.20000000000002,1.4210854715202004e-14
L4,41.242251438669,6.557748561331,4,0,L,True,1.0,47.8,0.0
L5,7.034477276791353,0.565522723208647,5,0,L,True,1.0,7.6000000000000005,8.881784197001252e-16
L6,10.366598092113573,0.8334019078864271,6,0,L,True,1.0,11.200000000000001,1.7763568394002505e-15
L9,25.4528539213543,4.0471460786457,9,0,L,True,1.0,29.5,0.0
L10,8.00292192905789,0.9970780709421099,10,0,L,True,1.0,9.0,0.0
L11,3.2395619037854915,0.2604380962145085,11,0,L,True,1.0,3.5,0.0
L12,5.646093603740429,0.453906396259572,12,0,L,True,1.0,6.1000000000000005,8.881784197001252e-16
L13,12.495453057458327,1.0045469425416758,13,0,L,True,1.0,13.500000000000004,3.552713678800501e-15
L14,13.206777043433483,1.6932229565665162,14,0,L,True,1.0,14.899999999999999,-1.7763568394002505e-15
G1,232.39327235325806,0.0,0,1,G,True,1.0,232.39327235325806,0.0
G2,0.0,40.0,0,2,G,True,1.0,40.0,0.0
