,L4,G2,G3,G6,G8,S9,E1,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,F_BUS,T_BUS,TYPE,DONE,TAP,Total,Error
E1_QF,-0.024555844213990465,26.72501252854722,-0.022927389825605573,0.0,-0.029631246672812313,-0.00046365709379193935,0.0,1.069888074491393,0.0,-0.007519668992080465,0.0,-0.031433247736660605,-0.0021198215941713055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,E,True,1.0,27.6762497269095,3.552713678800501e-15
E1_QT,-0.014012296422549987,15.250088499625274,-0.013083051823919943,0.0,-0.01690847230218975,-0.00026457655375290115,4.611398893507637,0.6105100157861126,0.0,-0.0042909471976718605,0.0,-0.017936747805175984,-0.001209633367991782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,E,True,1.0,20.40429168344577,0.0
E4_QF,0.6251578857081368,0.0,0.5836996856339233,0.0,0.7543706239314555,0.011804069366240875,0.0,0.0,0.0,0.19144038899040253,0.0,0.8002470827207396,0.05396773062827755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,E,True,1.0,3.0206874669791763,4.440892098500626e-16
E4_QT,-0.040021734850436065,0.0,-0.0373676387753829,0.0,-0.048293753914251836,-0.0007556800372064768,0.0,1.7437305947943147,0.0,-0.012255746369030417,0.0,-0.05123070074243097,-0.0034549387523731103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,E,True,1.0,1.5503504013532028,-2.220446049250313e-16
E5_QF,-0.001038971726226559,1.13075047056991,-0.0009700708954411319,0.0,-0.0012537148891161615,-1.961759518085481e-05,0.0,0.04526757255571028,0.0,-0.0003181614692319535,0.0,-0.0013299585783843103,-8.969085655518537e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,E,True,1.0,1.1709978571154844,2.220446049250313e-16
E5_QT,-0.00010214432273777554,0.11116735719196895,-9.5370482296315e-05,0.0,-0.00012325634569492687,-1.9286626603112278e-06,0.0,0.004450386304042567,1.983909771890635,-3.127937649851588e-05,0.0,-0.0001307520838432682,-8.817768152241942e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,E,True,1.0,2.0990339663447632,0.0
E6_QF,0.0,0.0,4.47311562217181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,E,True,1.0,4.47311562217181,0.0
E6_QT,0.0,0.0,3.641366166874334,0.0,0.0,0.0,0.0,0.0,0.0,1.1942863301113955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,E,True,1.0,4.8356524969857295,0.0
E7_QF,3.2748421170149857,0.0,3.0576664837829455,0.0,3.9517132352753572,0.06183472111040328,0.0,0.0,0.0,1.0028459419548874,0.0,4.192033581314774,0.2827058592102834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,E,True,1.0,15.823641939663638,3.552713678800501e-15
E7_QT,2.9390230138653086,0.0,2.7441176836805568,0.0,3.5464842968542,0.05549387173665284,0.0,0.0,0.0,0.9000089767543931,0.0,3.7621609623154706,0.2537157507705849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,E,True,1.0,14.201004555977168,3.552713678800501e-15
