ID,F_BUS,T_BUS,PF,PT,TYPE,TAP
E1,1,2,11.939906293991848,11.936326155895493,E,1.0
E2,3,1,8.308247725176075,7.966719133723327,E,1.0
E3,1,5,60.026812839748125,59.28607648846115,E,1.0
E4,2,4,38.435815469122936,37.84859820283668,E,1.0
E5,2,6,48.50051068678821,47.40773387375048,E,1.0
E6,3,9,22.89800252981674,22.65807985553735,E,1.0
E7,24,3,212.31914961490173,211.2062502547619,E,1.03
E8,9,4,36.515643699122855,36.15140179713207,E,1.0
E9,10,5,11.759544797218203,11.713923511502486,E,1.0
E10,10,6,89.65915015412081,88.59226612622189,E,1.0
E11,7,8,115.00000000000423,112.88233047811977,E,1.0
E12,9,8,37.527422597249476,36.9232510520964,E,1.0
E13,10,8,21.497298669204195,21.194418469743404,E,1.0
E14,11,9,106.19562170631526,105.9186399099655,E,1.03
E15,12,9,120.83557014505917,120.46634653087465,E,1.03
E16,11,10,151.72333370367235,151.1769264958344,E,1.02
E17,12,10,167.3801878442282,166.73906712469983,E,1.02
E18,13,11,86.76392492028579,86.14587583626,E,1.0
E19,14,11,173.55099295080066,171.7730795737943,E,1.0
E20,13,12,60.78509717511857,60.514300056702695,E,1.0
E21,23,12,234.10027488374485,227.70145793266116,E,1.0
E22,23,13,230.74091271795473,225.3026066047223,E,1.0
E23,16,14,374.60468254558566,367.5509929507989,E,1.0
E24,15,16,112.30085171510792,112.01079943383247,E,1.0
E25,21,15,217.83191364262083,214.9193141940841,E,1.0
E26,21,15,217.83191364262083,214.9193141940841,E,1.0
E27,15,24,215.537776673048,212.31914961502804,E,1.0
E28,17,16,326.02927216765505,322.6764762652939,E,1.0
E29,16,19,115.08259315354088,114.6500523671222,E,1.0
E30,18,17,187.5784778953487,186.94093262487598,E,1.0
E31,22,17,141.54257415469579,139.08833954277858,E,1.0
E32,21,18,60.40001064890692,60.28923894767505,E,1.0
E33,21,18,60.40001064890692,60.28923894767505,E,1.0
E34,20,19,33.28810660966356,33.174973816438765,E,1.0
E35,20,19,33.28810660966356,33.174973816438765,E,1.0
E36,23,20,97.57940619914882,97.28810660966354,E,1.0
E37,23,20,97.57940619914882,97.28810660966354,E,1.0
E38,22,21,158.457425845304,156.4638485830559,E,1.0
L1,1,0,108.0,108.0,L,1.0
L2,2,0,97.0,97.0,L,1.0
L3,3,0,180.0,180.0,L,1.0
L4,4,0,74.0,74.0,L,1.0
L5,5,0,71.0,71.0,L,1.0
L6,6,0,136.0,136.0,L,1.0
L7,7,0,125.0,125.0,L,1.0
L8,8,0,171.0,171.0,L,1.0
L9,9,0,175.0,175.0,L,1.0
L10,10,0,195.0,195.0,L,1.0
L13,13,0,265.0,265.0,L,1.0
L14,14,0,194.0,194.0,L,1.0
L15,15,0,317.0,317.0,L,1.0
L16,16,0,100.0,100.0,L,1.0
L18,18,0,333.0,333.0,L,1.0
L19,19,0,181.0,181.0,L,1.0
L20,20,0,128.0,128.0,L,1.0
G1.1,0,1,10.0,10.0,G,1.0
G1.2,0,1,10.0,10.0,G,1.0
G1.3,0,1,76.0,76.0,G,1.0
G1.4,0,1,76.0,76.0,G,1.0
G2.1,0,2,10.0,10.0,G,1.0
G2.2,0,2,10.0,10.0,G,1.0
G2.3,0,2,76.0,76.0,G,1.0
G2.4,0,2,76.0,76.0,G,1.0
G7.1,0,7,80.0,80.0,G,1.0
G7.2,0,7,80.0,80.0,G,1.0
G7.3,0,7,80.0,80.0,G,1.0
G13.1,0,13,95.1,95.1,G,1.0
G13.2,0,13,95.1,95.1,G,1.0
G15.1,0,15,12.0,12.0,G,1.0
G15.2,0,15,12.0,12.0,G,1.0
G15.3,0,15,12.0,12.0,G,1.0
G15.4,0,15,12.0,12.0,G,1.0
G15.5,0,15,12.0,12.0,G,1.0
G15.6,0,15,155.0,155.0,G,1.0
G16,0,16,155.0,155.0,G,1.0
G18,0,18,400.0,400.0,G,1.0
G21,0,21,400.0,400.0,G,1.0
G22.1,0,22,50.0,50.0,G,1.0
G22.2,0,22,50.0,50.0,G,1.0
G22.3,0,22,50.0,50.0,G,1.0
G22.4,0,22,50.0,50.0,G,1.0
G22.5,0,22,50.0,50.0,G,1.0
G22.6,0,22,50.0,50.0,G,1.0
G23.1,0,23,155.0,155.0,G,1.0
G23.2,0,23,155.0,155.0,G,1.0
G23.3,0,23,350.0,350.0,G,1.0
G13.3,13,0,2.9535845093179773,2.9535845093179773,L,1.0
