ID,F_BUS,T_BUS,QF,QF1,QT1,QT,QSF,QST,TAP,TYPE
E1,1,2,-26.9205513246336,-2.2234589496335992,-2.2425989186888238,22.454493456311177,24.697092375,24.697092375,1.0,E
E2,1,3,21.565417351101416,24.629120851101415,23.308043222624818,26.10760524897519,3.0637034999999995,2.799562026350372,1.0,E
E3,1,5,4.828893514657771,6.0554461396577715,3.1842433101279424,4.372074614287824,1.2265526249999998,1.1878313041598816,1.0,E
E4,2,4,19.15090534976569,20.98805622476569,18.719750504080718,20.427708578921823,1.8371508749999998,1.7079580748411052,1.0,E
E5,2,6,-1.0381140293143436,1.7470709706856558,-2.474521546482313,0.19036225317093508,2.7851849999999994,2.664883799653248,1.0,E
E6,9,3,14.746075163368427,16.36037573617804,15.433401767371267,17.009378991995078,1.6143005728096116,1.5759772246238108,1.0,E
E8,4,9,5.427708578924269,6.826939538196429,5.41754083534382,6.826293819690096,1.3992309592721592,1.4087529843462758,1.0,E
E9,10,5,7.300920218078967,8.564906154386675,8.388223718917596,9.627925385704547,1.2639859363077073,1.239701666786951,1.0,E
E10,6,10,-130.30516850271317,-4.286913438341273,-8.930545358332893,121.11721269106678,126.0182550643719,130.04775804939968,1.0,E
E11,7,8,26.839607381075137,27.71162613107514,19.533958920778968,20.351826744571646,0.8720187500000007,0.8178678237926769,1.0,E
E12,8,9,3.3576296508610852,5.559960477579919,3.2239248310982744,5.464894880930251,2.202330826718834,2.2409700498319762,1.0,E
E13,10,8,14.610537656745617,16.974561562726976,15.803472079566083,18.005802906284917,2.36402390598136,2.202330826718834,1.0,E
E14,11,9,22.869018439621613,22.869018439621613,-21.003711607501877,12.765204216254409,0.0,33.76891582375629,1.03,E
E15,12,9,39.158317563830124,39.158317563830124,-8.07923357735184,25.68968224640445,0.0,33.76891582375629,1.03,E
E16,10,11,36.028654072653936,60.24539948046884,16.09666940413006,16.09666940413006,24.216745407814905,0.0,1.02,E
E18,13,11,49.69677537918484,54.89357337918484,50.07076413334407,54.965312073446015,5.196798,4.894547940101946,1.0,E
E19,11,14,48.192963037990395,52.49957729159361,38.7372107806918,42.95816878069179,4.306614253603215,4.220957999999999,1.0,E
E20,13,12,25.19755319162203,30.394351191622032,28.281245808573594,33.30157621579444,5.196798,5.020330407220846,1.0,E
E21,23,12,34.52361044472308,45.71398544472308,-4.134862738719327,6.066609460137848,11.190374999999996,10.201472198857175,1.0,E
E23,16,14,70.48523805251385,74.71548006251385,19.837775015071866,23.765811015071865,4.230242009999999,3.9280359999999988,1.0,E
E24,16,15,31.130443978271238,33.01284995827124,30.731984291880284,32.60330101188028,1.8824059799999997,1.8713167200000003,1.0,E
E25,21,15,53.649587006961674,59.327462006961674,36.67391074056452,41.96912014056452,5.677874999999999,5.295209400000001,1.0,E
E26,21,15,53.649587006961674,59.327462006961674,36.67391074056452,41.96912014056452,5.677874999999999,5.295209400000001,1.0,E
E27,15,24,48.58704128986781,54.195850469867814,29.26350057266751,34.479648939555794,5.608809180000001,5.216148366888284,1.0,E
E28,17,16,54.415917255855774,57.35507718151708,31.040709341775035,33.859146866775035,2.939159925661309,2.8184375249999993,1.0,E
E29,19,16,41.637583768603875,44.17664915380196,40.84608509837848,43.35423592337848,2.5390653851980862,2.5081508249999995,1.0,E
E30,18,17,60.490491508337264,62.160779008337265,57.06041684455705,58.694481904144894,1.6702875000000001,1.634065059587847,1.0,E
E31,17,22,4.27856464828923,16.20777887867972,-2.9352510942745482,9.258398905725452,11.929214230390487,12.19365,1.0,E
E32,18,21,5.1190798775014565,8.123392377501457,7.254002358743034,10.258314858743034,3.0043125,3.0043125,1.0,E
E33,18,21,5.1190798775014565,8.123392377501457,7.254002358743034,10.258314858743034,3.0043125,3.0043125,1.0,E
E34,20,19,31.3445328003155,35.83632451043249,34.95788164539421,39.31879188430144,4.491791710116991,4.360910238907229,1.0,E
E35,20,19,31.3445328003155,35.83632451043249,34.95788164539421,39.31879188430144,4.491791710116991,4.360910238907229,1.0,E
E36,23,20,41.630013888466145,44.13820138846614,41.89103312672124,44.34453280031455,2.508187499999999,2.453499673593314,1.0,E
E37,23,20,41.630013888466145,44.13820138846614,41.89103312672124,44.34453280031455,2.508187499999999,2.453499673593314,1.0,E
E38,21,22,20.1234029326244,27.973202932624403,12.437049095793492,20.286849095793492,7.8498,7.8498,1.0,E
L1,1,0,22.0,22.0,22.0,22.0,0.0,0.0,1.0,L
L2,2,0,20.0,20.0,20.0,20.0,0.0,0.0,1.0,L
L3,3,0,37.0,37.0,37.0,37.0,0.0,0.0,1.0,L
L4,4,0,15.0,15.0,15.0,15.0,0.0,0.0,1.0,L
L5,5,0,14.0,14.0,14.0,14.0,0.0,0.0,1.0,L
L6,6,0,28.0,28.0,28.0,28.0,0.0,0.0,1.0,L
L7,7,0,25.0,25.0,25.0,25.0,0.0,0.0,1.0,L
L8,8,0,35.0,35.0,35.0,35.0,0.0,0.0,1.0,L
L9,9,0,36.0,36.0,36.0,36.0,0.0,0.0,1.0,L
L10,10,0,40.0,40.0,40.0,40.0,0.0,0.0,1.0,L
L13,13,0,54.0,54.0,54.0,54.0,0.0,0.0,1.0,L
L14,14,0,39.0,39.0,39.0,39.0,0.0,0.0,1.0,L
L15,15,0,64.0,64.0,64.0,64.0,0.0,0.0,1.0,L
L16,16,0,20.0,20.0,20.0,20.0,0.0,0.0,1.0,L
L18,18,0,68.0,68.0,68.0,68.0,0.0,0.0,1.0,L
L19,19,0,37.0,37.0,37.0,37.0,0.0,0.0,1.0,L
L20,20,0,26.0,26.0,26.0,26.0,0.0,0.0,1.0,L
G1.1,0,1,5.497981503163465,5.497981503163465,5.497981503163465,5.497981503163465,0.0,0.0,1.0,G
G1.2,0,1,5.497981503163465,5.497981503163465,5.497981503163465,5.497981503163465,0.0,0.0,1.0,G
G1.3,0,1,5.238898267399058,5.238898267399058,5.238898267399058,5.238898267399058,0.0,0.0,1.0,G
G1.4,0,1,5.238898267399058,5.238898267399058,5.238898267399058,5.238898267399058,0.0,0.0,1.0,G
G2.1,0,2,5.050638297241658,5.050638297241658,5.050638297241658,5.050638297241658,0.0,0.0,1.0,G
G2.2,0,2,5.050638297241658,5.050638297241658,5.050638297241658,5.050638297241658,0.0,0.0,1.0,G
G2.3,0,2,2.7785106348291215,2.7785106348291215,2.7785106348291215,2.7785106348291215,0.0,0.0,1.0,G
G2.4,0,2,2.7785106348291215,2.7785106348291215,2.7785106348291215,2.7785106348291215,0.0,0.0,1.0,G
G7.1,0,7,17.279869127025048,17.279869127025048,17.279869127025048,17.279869127025048,0.0,0.0,1.0,G
G7.2,0,7,17.279869127025048,17.279869127025048,17.279869127025048,17.279869127025048,0.0,0.0,1.0,G
G7.3,0,7,17.279869127025048,17.279869127025048,17.279869127025048,17.279869127025048,0.0,0.0,1.0,G
G13.1,0,13,44.66384363471016,44.66384363471016,44.66384363471016,44.66384363471016,0.0,0.0,1.0,G
G13.2,0,13,44.66384363471016,44.66384363471016,44.66384363471016,44.66384363471016,0.0,0.0,1.0,G
G13.3,0,13,44.66384363471016,44.66384363471016,44.66384363471016,44.66384363471016,0.0,0.0,1.0,G
G15.1,0,15,1.7267062498822014,1.7267062498822014,1.7267062498822014,1.7267062498822014,0.0,0.0,1.0,G
G15.2,0,15,1.7267062498822014,1.7267062498822014,1.7267062498822014,1.7267062498822014,0.0,0.0,1.0,G
G15.3,0,15,1.7267062498822014,1.7267062498822014,1.7267062498822014,1.7267062498822014,0.0,0.0,1.0,G
G15.4,0,15,1.7267062498822014,1.7267062498822014,1.7267062498822014,1.7267062498822014,0.0,0.0,1.0,G
G15.5,0,15,1.7267062498822014,1.7267062498822014,1.7267062498822014,1.7267062498822014,0.0,0.0,1.0,G
G16,0,16,44.40229924063017,44.40229924063017,44.40229924063017,44.40229924063017,0.0,0.0,1.0,G
G18,0,18,138.72865126334017,138.72865126334017,138.72865126334017,138.72865126334017,0.0,0.0,1.0,G
G21,0,21,106.90594722905846,106.90594722905846,106.90594722905846,106.90594722905846,0.0,0.0,1.0,G
G23.1,0,23,27.876594906733033,27.876594906733033,27.876594906733033,27.876594906733033,0.0,0.0,1.0,G
G23.2,0,23,27.876594906733033,27.876594906733033,27.876594906733033,27.876594906733033,0.0,0.0,1.0,G
G23.3,0,23,79.8338777590637,79.8338777590637,79.8338777590637,79.8338777590637,0.0,0.0,1.0,G
G14,14,0,27.723979795763654,27.723979795763654,27.723979795763654,27.723979795763654,0.0,0.0,1.0,L
G15.6,15,0,12.588031252552305,12.588031252552305,12.588031252552305,12.588031252552305,0.0,0.0,1.0,L
G22.1,22,0,4.92420800025318,4.92420800025318,4.92420800025318,4.92420800025318,0.0,0.0,1.0,L
G22.2,22,0,4.92420800025318,4.92420800025318,4.92420800025318,4.92420800025318,0.0,0.0,1.0,L
G22.3,22,0,4.92420800025318,4.92420800025318,4.92420800025318,4.92420800025318,0.0,0.0,1.0,L
G22.4,22,0,4.92420800025318,4.92420800025318,4.92420800025318,4.92420800025318,0.0,0.0,1.0,L
G22.5,22,0,4.92420800025318,4.92420800025318,4.92420800025318,4.92420800025318,0.0,0.0,1.0,L
G22.6,22,0,4.92420800025318,4.92420800025318,4.92420800025318,4.92420800025318,0.0,0.0,1.0,L
E14.S11,11,0,33.99170205582377,33.99170205582377,33.99170205582377,33.99170205582377,0.0,0.0,1.0,L
E15.S12,12,0,34.86523730330222,34.86523730330222,34.86523730330222,34.86523730330222,0.0,0.0,1.0,L
E16.S11,11,0,22.88330269117554,22.88330269117554,22.88330269117554,22.88330269117554,0.0,0.0,1.0,L
E7_QF,3,0,6.116984241112195,6.116984241112195,6.116984241112195,6.116984241112195,0.0,0.0,1.0,L
E7_QT,24,0,34.479648939642296,34.479648939642296,34.479648939642296,34.479648939642296,0.0,0.0,1.0,L
E17_QF,10,0,23.177100743676487,23.177100743676487,23.177100743676487,23.177100743676487,0.0,0.0,1.0,L
E17_QT,12,0,0.20986811216315085,0.20986811216315085,0.20986811216315085,0.20986811216315085,0.0,0.0,1.0,L
E22_QF,13,0,5.0972023333232634,5.0972023333232634,5.0972023333232634,5.0972023333232634,0.0,0.0,1.0,L
E22_QT,23,0,17.80342935087508,17.80342935087508,17.80342935087508,17.80342935087508,0.0,0.0,1.0,L
S6,6,0,102.49553075589417,102.49553075589417,102.49553075589417,102.49553075589417,0.0,0.0,1.0,L
