,G1,G2,G22,G27,G23,G13,F_BUS,T_BUS,TYPE,DONE,TAP,Total,Error
E1_PF,10.890572859384307,0.0,0.0,0.0,0.0,0.0,1,2,E,True,1.0,10.890572859384307,0.0
E1_PT,10.864279535785071,0.0,0.0,0.0,0.0,0.0,1,2,E,True,1.0,10.864279535785071,0.0
E2_PF,15.083230197493581,0.0,0.0,0.0,0.0,0.0,1,3,E,True,1.0,15.083230197493581,0.0
E2_PT,14.956534996506715,0.0,0.0,0.0,0.0,0.0,1,3,E,True,1.0,14.956534996506715,0.0
E3_PF,2.430037711481804,13.637296314130538,0.0,0.0,0.0,0.0,2,4,E,True,1.0,16.067334025612343,0.0
E3_PT,2.4031159629931125,13.486212296092438,0.0,0.0,0.0,0.0,2,4,E,True,1.0,15.88932825908555,0.0
E4_PF,12.556534972804162,0.0,0.0,0.0,0.0,0.0,3,4,E,True,1.0,12.556534972804162,0.0
E4_PT,12.538244378560211,0.0,0.0,0.0,0.0,0.0,3,4,E,True,1.0,12.538244378560211,0.0
E5_PF,2.0858922828438033,11.705962835923723,0.0,0.0,0.0,0.0,2,5,E,True,1.0,13.791855118767526,0.0
E5_PT,2.0692157210135536,11.612374487847694,0.0,0.0,0.0,0.0,2,5,E,True,1.0,13.681590208861248,1.7763568394002505e-15
E6_PF,3.0664224770485005,17.208667892779605,0.0,0.0,0.0,0.0,2,6,E,True,1.0,20.275090369828106,0.0
E6_PT,3.0226832886354504,16.963204923168067,0.0,0.0,0.0,0.0,2,6,E,True,1.0,19.98588821180352,0.0
E7_PF,11.16868248008269,10.080957794394802,0.0,0.0,0.0,1.2494943645222454,4,6,E,True,1.0,22.499134638999738,0.0
E7_PT,11.13582464380262,10.05130000249811,0.0,0.0,0.0,1.2458183999368468,4,6,E,True,1.0,22.43294304623758,3.552713678800501e-15
E8_PF,2.069215717971235,11.612374470774299,0.0,0.0,0.0,0.0,5,7,E,True,1.0,13.681590188745535,1.7763568394002505e-15
E8_PT,2.051036160029076,11.510351355105879,0.0,0.0,0.0,0.0,5,7,E,True,1.0,13.561387515134955,1.7763568394002505e-15
E9_PF,3.038944478726567,5.798321474348192,0.0,0.16536610070669575,0.0,0.26739914728656783,6,7,E,True,1.0,9.270031201068022,0.0
E9_PT,3.0286446358158865,5.778669321849362,0.0,0.16480562819001968,0.0,0.26649285589796845,6,7,E,True,1.0,9.238612441753238,1.7763568394002505e-15
E10_PF,8.137364376488295,15.526132490765196,0.0,0.4427998689641469,0.0,0.7160131784786204,6,8,E,True,1.0,24.82230991469626,0.0
E10_PT,8.095381799437131,15.446029520879335,0.0,0.4405153602759597,0.0,0.7123190980559739,6,8,E,True,1.0,24.6942457786484,0.0
E11_PF,1.8977630348299048,3.620941493044144,0.0,0.10326798509548007,0.0,0.16698568230444633,6,9,E,True,1.0,5.788958195273976,8.881784197001252e-16
E11_PT,1.897763034829905,3.6209414930441444,0.0,0.1032679850954801,0.0,0.16698568230444635,6,9,E,True,1.0,5.788958195273977,8.881784197001252e-16
E12_PF,1.0844360208256776,2.069109426357503,0.0,0.05901027724763601,0.0,0.09542038996945953,6,10,E,True,1.0,3.3079761144002764,-4.440892098500626e-16
E12_PT,1.0844360208256776,2.069109426357503,0.0,0.05901027724763601,0.0,0.09542038996945953,6,10,E,True,1.0,3.3079761144002764,-4.440892098500626e-16
E13_PF,1.8977630396053895,3.620941502155793,0.0,0.10326798535534114,0.0,0.16698568272464503,9,10,E,True,1.0,5.788958209841169,8.881784197001252e-16
E13_PT,1.8977630396053895,3.620941502155793,0.0,0.10326798535534114,0.0,0.16698568272464503,9,10,E,True,1.0,5.788958209841169,8.881784197001252e-16
E14_PF,0.0,0.0,0.0,0.0,0.0,1.6715620287675,12,4,E,True,1.0,1.6715620287675,0.0
E14_PT,0.0,0.0,0.0,0.0,0.0,1.6715620287674995,12,4,E,True,1.0,1.6715620287674995,0.0
E15_PF,0.0,0.0,0.0,0.0,0.0,36.999999996503256,13,12,E,True,1.0,36.999999996503256,0.0
E15_PT,0.0,0.0,0.0,0.0,0.0,36.99999999650326,13,12,E,True,1.0,36.99999999650326,0.0
E16_PF,0.0,0.0,0.0,0.0,0.0,5.387777267210772,12,14,E,True,1.0,5.387777267210772,0.0
E16_PT,0.0,0.0,0.0,0.0,0.0,5.350953753221079,12,14,E,True,1.0,5.350953753221079,0.0
E17_PF,0.0,0.0,0.0,0.0,0.0,9.477029234467182,12,15,E,True,1.0,9.477029234467182,0.0
E17_PT,0.0,0.0,0.0,0.0,0.0,9.4114764633922,12,15,E,True,1.0,9.4114764633922,0.0
E18_PF,0.0,0.0,0.0,0.0,0.0,9.26363145964912,12,16,E,True,1.0,9.26363145964912,0.0
E18_PT,0.0,0.0,0.0,0.0,0.0,9.184094073241077,12,16,E,True,1.0,9.184094073241077,0.0
E19_PF,0.0,0.0,0.0,0.0,0.4119153289765783,0.4402722091680474,15,14,E,True,1.0,0.8521875381446257,-1.1102230246251565e-16
E19_PT,0.0,0.0,0.0,0.0,0.4103969448148651,0.43864929712225353,15,14,E,True,1.0,0.8490462419371186,-1.1102230246251565e-16
E20_PF,0.0,0.0,0.0,0.0,0.0,5.684094077085416,16,17,E,True,1.0,5.684094077085416,0.0
E20_PT,0.0,0.0,0.0,0.0,0.0,5.6534224173176915,16,17,E,True,1.0,5.6534224173176915,0.0
E21_PF,0.0,0.0,0.0,0.0,4.429819580230361,4.73477512393036,15,18,E,True,1.0,9.16459470416072,-1.7763568394002505e-15
E21_PT,0.0,0.0,0.0,0.0,4.383023346797243,4.684757366335536,15,18,E,True,1.0,9.06778071313278,0.0
E22_PF,0.0,0.0,0.0,0.0,2.8362639853251035,3.031516728705809,18,19,E,True,1.0,5.867780714030912,-8.881784197001252e-16
E22_PT,0.0,0.0,0.0,0.0,2.825582532133915,3.020099947967656,18,19,E,True,1.0,5.845682480101571,-8.881784197001252e-16
E23_PF,0.7241665763192331,1.3817134994965545,1.325442738190907,0.08507138789748077,0.08310761528466912,0.06371999434564837,20,19,E,True,1.0,3.663221811534493,-4.440892098500626e-16
E23_PT,0.7224063218019535,1.378354924952232,1.3222209427593163,0.08486460219411551,0.082905602985277,0.06356510814742301,20,19,E,True,1.0,3.6543175028403176,-4.440892098500626e-16
E24_PF,1.1694269452924644,2.231272541185774,2.1404031933660863,0.137378300150773,0.13420708418617847,0.10289880916685111,10,20,E,True,1.0,5.915586873348128,8.881784197001252e-16
E24_PT,1.1590751216223316,2.2115212091343412,2.1214562411602147,0.13616222081808094,0.13301907661001428,0.10198794394978919,10,20,E,True,1.0,5.863221813294771,-8.881784197001252e-16
E25_PF,0.6661950449874503,1.271103523771437,1.21933739207556,0.07826118871098446,0.07645462151095332,0.058619033089682616,10,17,E,True,1.0,3.369970804146068,0.0
E25_PT,0.6615705383017596,1.2622799415666242,1.2108731533151649,0.07771792530314742,0.07592389869788285,0.058212119059817595,10,17,E,True,1.0,3.346577576244396,-4.440892098500626e-16
E26_PF,0.0,0.0,2.075833553512445,0.07151857350664688,0.13015845301305784,0.0,21,10,E,True,1.0,2.27751058003215,-4.440892098500626e-16
E26_PT,0.0,0.0,2.036017253834338,0.07014678483386383,0.12766190026101387,0.0,21,10,E,True,1.0,2.233825938929216,-4.440892098500626e-16
E27_PF,0.0,0.0,3.4789620934277363,0.11986048003928172,0.21813710613041626,0.0,22,10,E,True,1.0,3.816959679597434,0.0
E27_PT,0.0,0.0,3.4223043778804447,0.1179084550384182,0.21458456667251452,0.0,22,10,E,True,1.0,3.7547973995913777,4.440892098500626e-16
E28_PF,0.0,0.0,18.11103790929784,0.6239785428875525,1.1355942641674424,0.0,22,21,E,True,1.0,19.870610716352832,-3.552713678800501e-15
E28_PT,0.0,0.0,18.026181927986006,0.6210550046652031,1.130273643331651,0.0,22,21,E,True,1.0,19.77751057598286,-3.552713678800501e-15
E29_PF,0.0,0.0,0.0,0.0,8.91466656447381,0.0,23,15,E,True,1.0,8.91466656447381,0.0
E29_PT,0.0,0.0,0.0,0.0,8.805305769580865,0.0,23,15,E,True,1.0,8.805305769580865,0.0
E30_PF,0.0,0.0,0.0,0.7715941673617828,1.4042436566268237,0.0,24,22,E,True,1.0,2.1758378239886067,4.440892098500626e-16
E30_PT,0.0,0.0,0.0,0.7438390228329301,1.3537313701269602,0.0,24,22,E,True,1.0,2.0975703929598906,4.440892098500626e-16
E31_PF,0.0,0.0,0.0,0.0,7.085333440242354,0.0,23,24,E,True,1.0,7.085333440242354,8.881784197001252e-16
E31_PT,0.0,0.0,0.0,0.0,7.019055421380162,0.0,23,24,E,True,1.0,7.019055421380162,8.881784197001252e-16
E32_PF,0.0,0.0,0.0,3.8917707977426597,0.0,0.0,25,24,E,True,1.0,3.8917707977426597,8.881784197001252e-16
E32_PT,0.0,0.0,0.0,3.856782402375696,0.0,0.0,25,24,E,True,1.0,3.856782402375696,8.881784197001252e-16
E33_PF,0.0,0.0,0.0,3.546394189199651,0.0,0.0,25,26,E,True,1.0,3.546394189199651,4.440892098500626e-16
E33_PT,0.0,0.0,0.0,3.499999999821182,0.0,0.0,25,26,E,True,1.0,3.499999999821182,4.440892098500626e-16
E34_PF,0.0,0.0,0.0,7.500728046124658,0.0,0.0,27,25,E,True,1.0,7.500728046124658,8.881784197001252e-16
E34_PT,0.0,0.0,0.0,7.438164986973264,0.0,0.0,27,25,E,True,1.0,7.438164986973264,8.881784197001252e-16
E35_PF,0.0,0.0,0.0,6.112995010702004,0.0,0.0,27,28,E,True,1.0,6.112995010702004,0.0
E35_PT,0.0,0.0,0.0,6.112995010702004,0.0,0.0,27,28,E,True,1.0,6.112995010702004,0.0
E36_PF,0.0,0.0,0.0,6.173882002210096,0.0,0.0,27,29,E,True,1.0,6.173882002210096,0.0
E36_PT,0.0,0.0,0.0,6.083785911189028,0.0,0.0,27,29,E,True,1.0,6.083785911189028,0.0
E37_PF,0.0,0.0,0.0,7.122394947671048,0.0,0.0,27,30,E,True,1.0,7.122394947671048,8.881784197001252e-16
E37_PT,0.0,0.0,0.0,6.951090401110047,0.0,0.0,27,30,E,True,1.0,6.951090401110047,8.881784197001252e-16
E38_PF,0.0,0.0,0.0,3.683785909594939,0.0,0.0,29,30,E,True,1.0,3.683785909594939,0.0
E38_PT,0.0,0.0,0.0,3.6489095936350364,0.0,0.0,29,30,E,True,1.0,3.6489095936350364,0.0
E39_PF,0.0,0.0,0.0,5.3413788402797415,0.0,0.0,28,8,E,True,1.0,5.3413788402797415,0.0
E39_PT,0.0,0.0,0.0,5.305754125651575,0.0,0.0,28,8,E,True,1.0,5.305754125651575,0.0
E40_PF,0.0,0.0,0.0,0.7716161805216454,0.0,0.0,28,6,E,True,1.0,0.7716161805216454,0.0
E40_PT,0.0,0.0,0.0,0.7704442331875749,0.0,0.0,28,6,E,True,1.0,0.7704442331875749,0.0
L2,3.2819270611476243,18.418072938852376,0.0,0.0,0.0,0.0,2,0,L,True,1.0,21.7,0.0
L3,2.4,0.0,0.0,0.0,0.0,0.0,3,0,L,True,1.0,2.4,0.0
L4,3.7726778478624237,3.405254489414738,0.0,0.0,0.0,0.4220676627228381,4,0,L,True,1.0,7.599999999999999,-8.881784197001252e-16
L7,5.079680805449973,17.289020709646515,0.0,0.16480562850164554,0.0,0.26649285640187154,7,0,L,True,1.0,22.800000000000008,7.105427357601002e-15
L8,8.095381825261406,15.44602957015218,0.0,5.746269504258138,0.0,0.7123191003282724,8,0,L,True,1.0,29.999999999999996,-3.552713678800501e-15
L10,1.1465770730634892,2.187674869112838,2.0985810516035888,0.13469401395562813,0.13158476157062543,0.10088823069382966,10,0,L,True,1.0,5.8,0.0
L12,0.0,0.0,0.0,0.0,0.0,11.199999999999998,12,0,L,True,1.0,11.199999999999998,-1.7763568394002505e-15
L14,0.0,0.0,0.0,0.0,0.41039694513535885,5.789603054864642,14,0,L,True,1.0,6.200000000000001,8.881784197001252e-16
L15,0.0,0.0,0.0,0.0,3.9635708648847987,4.2364291351152,15,0,L,True,1.0,8.2,0.0
L16,0.0,0.0,0.0,0.0,0.0,3.5,16,0,L,True,1.0,3.5,0.0
L17,0.6615705387749966,1.2622799424695628,1.210873154181331,0.07771792535874088,0.075923898752193,5.711634540463176,17,0,L,True,1.0,9.0,0.0
L18,0.0,0.0,0.0,0.0,1.546759361906263,1.6532406380937368,18,0,L,True,1.0,3.1999999999999997,-4.440892098500626e-16
L19,0.7224063230990995,1.3783549274271931,1.3222209451334839,0.08486460234649759,2.908488140341646,3.083665061652079,19,0,L,True,1.0,9.5,0.0
L20,0.4349085449551166,0.8298077089738353,0.7960135023323959,0.05109083287972102,0.04991146128540965,0.0382679495735216,20,0,L,True,1.0,2.1999999999999997,-4.440892098500626e-16
L21,0.0,0.0,15.950348378164277,0.5495364312857123,1.0001151905500076,0.0,21,0,L,True,1.0,17.499999999999996,-3.552713678800501e-15
L23,0.0,0.0,0.0,0.0,3.2,0.0,23,0,L,True,1.0,3.2,0.0
L24,0.0,0.0,0.0,3.085188235096451,5.614811764903551,0.0,24,0,L,True,1.0,8.700000000000001,1.7763568394002505e-15
L26,0.0,0.0,0.0,3.5000000000000004,0.0,0.0,26,0,L,True,1.0,3.5000000000000004,4.440892098500626e-16
L29,0.0,0.0,0.0,2.4,0.0,0.0,29,0,L,True,1.0,2.4,0.0
L30,0.0,0.0,0.0,10.6,0.0,0.0,30,0,L,True,1.0,10.6,0.0
G1,25.97380305687791,0.0,0.0,0.0,0.0,0.0,0,1,G,True,1.0,25.97380305687791,0.0
