,G1,G14,G24,G30,F_BUS,T_BUS,TYPE,DONE,TAP,Total,Error
E1_PF,0.810034939987645,0.0,0.0,0.0,1,2,E,True,1.0,0.810034939987645,0.0
E1_PT,0.8091929288693227,0.0,0.0,0.0,1,2,E,True,1.0,0.8091929288693227,0.0
E2_PF,0.3480605438089647,0.0,0.0,0.0,2,3,E,True,1.0,0.3480605438089647,0.0
E2_PT,0.34627493907628565,0.0,0.0,0.0,2,3,E,True,1.0,0.34627493907628565,0.0
E3_PF,0.2856181917465159,0.0,0.13817039548904153,0.0,3,4,E,True,1.0,0.42378858723555746,0.0
E3_PT,0.2845439024962394,0.0,0.13765069830283405,0.0,3,4,E,True,1.0,0.42219460079907345,0.0
E4_PF,0.20366823939005693,0.0,0.09852636140927541,0.0,4,5,E,True,1.0,0.30219460079933236,0.0
E4_PT,0.2028653131568799,0.0,0.09813793854829372,0.0,4,5,E,True,1.0,0.3010032517051736,0.0
E5_PF,0.16242748160382192,0.0,0.0785757701015305,0.0,5,6,E,True,1.0,0.24100325170535242,0.0
E5_PT,0.16094523078422193,0.0,0.07785871779927431,0.0,5,6,E,True,1.0,0.23880394858349624,0.0
E6_PF,0.13581282792314037,0.0,0.06570068955299431,0.12272009124575929,6,7,E,True,1.0,0.32423360872189394,-5.551115123125783e-17
E6_PT,0.135749406255164,0.0,0.06567000874483819,0.12266278360405829,6,7,E,True,1.0,0.32408219860406046,-5.551115123125783e-17
E7_PF,0.051974730053450116,0.0,0.02514324792481981,0.04696422062754454,7,8,E,True,1.0,0.12408219860581446,-2.7755575615628914e-17
E7_PT,0.05194117317833094,0.0,0.02512701448157083,0.046933898729094134,7,8,E,True,1.0,0.1240020863889959,-2.7755575615628914e-17
E8_PF,0.0,0.0760540671252963,0.0,0.0,9,8,E,True,1.0,0.0760540671252963,0.0
E8_PT,0.0,0.07599791361095205,0.0,0.0,9,8,E,True,1.0,0.07599791361095205,0.0
E9_PF,0.0,0.13621239000832427,0.0,0.0,10,9,E,True,1.0,0.13621239000832427,0.0
E9_PT,0.0,0.13605406712513637,0.0,0.0,10,9,E,True,1.0,0.13605406712513637,0.0
E10_PF,0.0,0.19627128875436664,0.0,0.0,11,10,E,True,1.0,0.19627128875436664,0.0
E10_PT,0.0,0.19621239000860863,0.0,0.0,11,10,E,True,1.0,0.19621239000860863,0.0
E11_PF,0.0,0.24144571079482924,0.0,0.0,12,11,E,True,1.0,0.24144571079482924,2.7755575615628914e-17
E11_PT,0.0,0.2412712887542682,0.0,0.0,12,11,E,True,1.0,0.2412712887542682,2.7755575615628914e-17
E12_PF,0.0,0.302524773383815,0.0,0.0,13,12,E,True,1.0,0.302524773383815,0.0
E12_PT,0.0,0.30144571079461063,0.0,0.0,13,12,E,True,1.0,0.30144571079461063,0.0
E13_PF,0.0,0.36310109125507684,0.0,0.0,14,13,E,True,1.0,0.36310109125507684,0.0
E13_PT,0.0,0.362524773383747,0.0,0.0,14,13,E,True,1.0,0.362524773383747,0.0
E14_PF,0.0,0.2707989087443353,0.0,0.0,14,15,E,True,1.0,0.2707989087443353,0.0
E14_PT,0.0,0.2704964808392279,0.0,0.0,14,15,E,True,1.0,0.2704964808392279,0.0
E15_PF,0.0,0.2104964808392562,0.0,0.0,15,16,E,True,1.0,0.2104964808392562,0.0
E15_PT,0.0,0.2102580778576046,0.0,0.0,15,16,E,True,1.0,0.2102580778576046,0.0
E16_PF,0.0,0.15025807785739795,0.0,0.0,16,17,E,True,1.0,0.15025807785739795,0.0
E16_PT,0.0,0.15004499221831152,0.0,0.0,16,17,E,True,1.0,0.15004499221831152,0.0
E17_PF,0.0,0.09004499221860995,0.0,0.0,17,18,E,True,1.0,0.09004499221860995,0.0
E17_PT,0.0,0.08999999999988491,0.0,0.0,17,18,E,True,1.0,0.08999999999988491,0.0
E18_PF,0.36113238506036205,0.0,0.0,0.0,2,19,E,True,1.0,0.36113238506036205,0.0
E18_PT,0.36097215651349795,0.0,0.0,0.0,2,19,E,True,1.0,0.36097215651349795,0.0
E19_PF,0.2709721565135244,0.0,0.0,0.0,19,20,E,True,1.0,0.2709721565135244,0.0
E19_PT,0.2701437396167939,0.0,0.0,0.0,19,20,E,True,1.0,0.2701437396167939,0.0
E20_PF,0.1801437396168316,0.0,0.0,0.0,20,21,E,True,1.0,0.1801437396168316,0.0
E20_PT,0.18004343709172196,0.0,0.0,0.0,20,21,E,True,1.0,0.18004343709172196,0.0
E21_PF,0.09004343709168271,0.0,0.0,0.0,21,22,E,True,1.0,0.09004343709168271,0.0
E21_PT,0.08999999999999589,0.0,0.0,0.0,21,22,E,True,1.0,0.08999999999999589,0.0
E22_PF,0.0,0.0,0.167611682494033,0.0,23,3,E,True,1.0,0.167611682494033,0.0
E22_PT,0.0,0.0,0.16751364815927478,0.0,23,3,E,True,1.0,0.16751364815927478,0.0
E23_PF,0.0,0.0,0.25808188156056755,0.0,24,23,E,True,1.0,0.25808188156056755,0.0
E23_PT,0.0,0.0,0.25761168249407906,0.0,24,23,E,True,1.0,0.25761168249407906,0.0
E24_PF,0.0,0.0,0.42121811843939266,0.0,24,25,E,True,1.0,0.42121811843939266,0.0
E24_PT,0.0,0.0,0.4199999999999806,0.0,24,25,E,True,1.0,0.4199999999999806,0.0
E25_PF,0.0,0.0,0.0,0.14570262008585827,26,6,E,True,1.0,0.14570262008585827,0.0
E25_PT,0.0,0.0,0.0,0.14542966013922612,26,6,E,True,1.0,0.14542966013922612,0.0
E26_PF,0.0,0.0,0.0,0.2060846188091104,27,26,E,True,1.0,0.2060846188091104,0.0
E26_PT,0.0,0.0,0.0,0.20570262008552503,27,26,E,True,1.0,0.20570262008552503,0.0
E27_PF,0.0,0.0,0.0,0.26756486297965015,28,27,E,True,1.0,0.26756486297965015,0.0
E27_PT,0.0,0.0,0.0,0.26608461880803785,28,27,E,True,1.0,0.26608461880803785,0.0
E28_PF,0.0,0.0,0.0,0.32879525773688306,29,28,E,True,1.0,0.32879525773688306,0.0
E28_PT,0.0,0.0,0.0,0.32756486297826937,29,28,E,True,1.0,0.32756486297826937,0.0
E29_PF,0.0,0.0,0.0,0.44972491193454767,30,29,E,True,1.0,0.44972491193454767,0.0
E29_PT,0.0,0.0,0.0,0.44879525773674606,30,29,E,True,1.0,0.44879525773674606,0.0
E30_PF,0.0,0.0,0.0,0.42157508806201416,30,31,E,True,1.0,0.42157508806201416,0.0
E30_PT,0.0,0.0,0.0,0.42019588431378685,30,31,E,True,1.0,0.42019588431378685,0.0
E31_PF,0.0,0.0,0.0,0.27019588431387,31,32,E,True,1.0,0.27019588431387,0.0
E31_PT,0.0,0.0,0.0,0.2700113947917782,31,32,E,True,1.0,0.2700113947917782,0.0
