,G1,G2,G3,F_BUS,T_BUS,TYPE,DONE,TAP,Total,Error
E1_PF,71.64102147448234,0.0,0.0,1,4,E,True,1.0,71.64102147448234,0.0
E1_PT,71.64102147448234,0.0,0.0,1,4,E,True,1.0,71.64102147448234,0.0
E2_PF,30.703669762307918,0.0,0.0,4,5,E,True,1.0,30.703669762307918,0.0
E2_PT,30.53726287414006,0.0,0.0,4,5,E,True,1.0,30.53726287414006,0.0
E3_PF,0.0,0.0,60.816585977109426,6,5,E,True,1.0,60.816585977109426,0.0
E3_PT,0.0,0.0,59.46273712586018,6,5,E,True,1.0,59.46273712586018,0.0
E4_PF,0.0,0.0,85.0,3,6,E,True,1.0,85.0,0.0
E4_PT,0.0,0.0,85.0,3,6,E,True,1.0,85.0,0.0
E5_PF,0.0,0.0,24.183414022891114,6,7,E,True,1.0,24.183414022891114,0.0
E5_PT,0.0,0.0,24.095417457392525,6,7,E,True,1.0,24.095417457392525,0.0
E6_PF,0.0,76.37986616683597,0.0,8,7,E,True,1.0,76.37986616683597,0.0
E6_PT,0.0,75.90458254260807,0.0,8,7,E,True,1.0,75.90458254260807,0.0
E7_PF,0.0,163.0,0.0,2,8,E,True,1.0,163.0,0.0
E7_PT,0.0,163.0,0.0,2,8,E,True,1.0,163.0,0.0
E8_PF,0.0,86.6201338331656,0.0,8,9,E,True,1.0,86.6201338331656,0.0
E8_PT,0.0,84.3201625184497,0.0,8,9,E,True,1.0,84.3201625184497,0.0
E9_PF,40.93735171217393,0.0,0.0,4,9,E,True,1.0,40.93735171217393,0.0
E9_PT,40.67983748155057,0.0,0.0,4,9,E,True,1.0,40.67983748155057,0.0
L5,30.537262874139977,0.0,59.46273712586002,5,0,L,True,1.0,90.0,0.0
L7,0.0,75.90458254260761,24.09541745739238,7,0,L,True,1.0,100.0,0.0
L9,40.67983748155048,84.32016251844952,0.0,9,0,L,True,1.0,125.0,0.0
G1,71.64102147448234,0.0,0.0,0,1,G,True,1.0,71.64102147448234,0.0
G2,0.0,163.0,0.0,0,2,G,True,1.0,163.0,0.0
G3,0.0,0.0,85.0,0,3,G,True,1.0,85.0,0.0
